ITEM_NAME,BARCODE,MANUFACTURER,BRAND,WEIGHT,PACKAGING  TYPE,COUNTRY,VARIANT,TYPE,FRAGRANCE_FLAVOR,PROMOTION,ADDONS,TAGLINE
BLUE BAND 250G PLASTIC TUB SPREAD FOR BREAD MARAGARINE SALTED UPFIELD GHANA MANUFACTURING LIMITED,6034000482027,UPFIELD,BLUE BAND,250G,TUB,GHANA,ORIGINAL ,SALTED MARGARINE,,,,LOW FAT SPREAD FOR BREAD
LELE MAYONNAISE 430G GLASS TUB BOTTLE MAYONNAISE AJC GHANA,106060069411,AJC TRADING CO LTD,LELE,430G,GLASS JAR,GHANA,,MAYONNAISE,,,,
BLUE BAND 12G CHOLESTEROL FREE SPREAD FOR BREAD PLSTC SACHET UPFIELD GHANA LTD,6034000482002,UPFIELD,BLUE BAND,12G,SACHET,,,SALTED MARGARINE,,,,CHOLESTEROL FREE SPREAD FOR BREAD
KINGSAM MARGARINE RICH BUTTER TASTE 250G SACHET INDONESIA,8998899333427,KING SAM,KING SAM,250G,SACHET,INDONESIA,,BUTTER,,,,RICH
ALFA MAYONNAISE 500ML PLASTIC BTTLE AL-AIN NATIONAL JUICE & REFRESHMENT CO.,6291003162947,AL AIN COMPANY LTD,ALFA,500ML,PLASTIC BOTTLE,,,MAYONNAISE,,,,
BAMA MAYONNAISE WITH A DASH OF LEMON 909ML GLASS JAR GB FOODS,8410300363439,GB FOODS,BAMA,909ML,GLASS JAR,,,MAYONNAISE,LEMON,,,
ENA PA 1000ML MAYONNAISE GLSS JAR MENKISH IMPEX LTD,5412723502689,MENKISH IMPEX,ENA PA,1L,GLASS JAR,,,MAYONNAISE,,,,
VIBE STRAWBERRY ENERGY 350ML PB COCA COLA COMPANY LTD.,54013988,THE COCA COLA COMPANY,VIBE,350ML,PLASTIC BOTTLE,,,,STRAWBERRY,,,
VIBE ENERGY DRINK 330ML PLASTIC BOTTLE HEMA GLOBAL BEVERAGES,6186001091989,THE COCA COLA COMPANY,VIBE,330ML,PLASTIC BOTTLE,COTE D'IVOIRE,,,,,,
MAGGI JOLLOF SEASONING PWDR 8G SACHET NESTLE NIGERIA LTD,6151100033369,NESTLE,MAGGI,8G,SACHET,NIGERIA,,POWDER,JOLLOF,,,
MUMMY'S KITCHEN STEW RAGOUT SACHET FAGIP VENTURES,6971336411188,FAGIP VENTURES,MUMMY'S KITCHEN,10G,SACHET,CHINA,,POWDER,STEW RAGOUT,,,
MASEDA SOUP 10G PWDR SACHET HAMTA & SONS LTD,6975385223167,HAMTA & SONS LTD,MASEDA,10G,SACHET,,,POWDER,SOUP,,,
TASTY TOM GINGER AND GARLIC 8G SACHET NUTRIFOODS GHANA LIMITED,6033000303264,NUTRIFOODS,TASTY TOM,8G,SACHET,GHANA,,POWDER,GINGER & GARLIC,,,
SISTER BEEF 10G SACHET SISTER SARDINE & MACKEREL,6970679244224,SISTER SARDINE & MACKEREL VENTURES,SISTER,10G,SACHET,GHANA,,,BEEF,,,
SISTER POWDER GINGER AND GARLIC 10G SACHET XIAMAN OASIS FOOD COMPANY LTD,6954096870068,SISTER SARDINE & MACKEREL VENTURES,SISTER,10G,SACHET,CHINA,,POWDER,GINGER & GARLIC,,,
ROSALINDA NOODLES & SPAGHETTI 10G PWDR SACHET CHINA,6034000975246,GEE TRADING SAL,ROSALINDA,10G,SACHET,,,POWDER,NOODLES & SPAGHETTI,,,
U FRESH ORANGE JUICE DRINK 350ML BTTLE D- U FRESH CO.LTD,6034000210873,U-FRESH ENTERPRISES,U-FRESH,350ML,PLASTIC BOTTLE,,,,ORANGE,,,
KALYPPO 250ML MULTI FRUITS CRTN CRDBRD AQFRSH,9501053210534,AQUAFRESH LIMITED,KALYPPO,250ML,TETRA PAK,,,,MULTI FRUIT,,,
JOJONAVI STRAWBERRY JUICE DRINK 330ML CAN NAT VET PHAT FOOD CO. LIMITED VIETNAM,8936085525966,NAM VIET PHAT FOOD CO. LIMITED,JOJONAVI,330ML,CAN,VIETNAM,,,STRAWBERRY,,,
U FRESH 350ML APPLE BTTL PLST U FRESH CO LTD.,6034000210392,U-FRESH ENTERPRISES,U-FRESH,350ML,PLASTIC BOTTLE,,,,APPLE,,,
ZAA NUTRI MIX INSTANT CEREAL LEGUME FLOOR 60G PWDR SACHET B-DIET LTD TAMALE,6034000396157,B-DIET LTD,ZAA,60G,SACHET,GHANA,,,LEGUME,,,
KADI DETERGENT POWDER 250G SACHET DIAKITE RAMTA COMMERCANTE,6951670938480,SENICO,KADI,250G,SACHET,CHINA,,POWDER,,,,
C'PROPRE WASHING POWDER 80G SACHET COTE D'IVOIRE,6951670939081,C'PROPRE,C'PROPRE,80G,SACHET,,,,POWDER,,,
MOSSE CLEAN GOWNS 3 IN 1 DETERGENT PWDR 80G SACHET SUNDA PURECARE LTD COMPANY,6033000414144,HOMEPRO COMPANY LTD,MOSSE,80G,SACHET,GHANA,,, ,,,CLEAN GOWNS 3 IN 1 DETERGENT
MOK ROSE 100G BOX MEIJI GHANA LTD.,6030057221077,LGD LIMITED,MOK,100G,BOX,GHANA,,POWDER,ROSE,,,
GET 3X1 TOP CLEAN 180G SACHET SDTM,786368779467,S.D.T.M,GET,180G,SACHET,,,,POWDER,,,
SO KLIN 800G CONCENTRATED DETERGENT,8998866628877,PT SAYAP MAS UTAMA,SO KLIN,800G,PLASTIC BAG,NIGERIA,,,,,,CONCENTRATED DETERGENT
EAZZY FRESH CITRUS 80G PWDR SACHET AFRICA CONSUMER PRODUCTS GHANA LTD,6034000374742,AFRICAN CONSUMER PRODUCTS,EASY,80G,SACHET,GHANA,,POWDER,CITRUS,,,
THIS WAY CHOCOLATE DRINK 1 TO 4 SACHET ATONA FOODS,6224000250131,ATONA FOODS,THIS WAY,40G,SACHET,,,,CHOCOLATE,,,
CHOCOLIM INSTANT COCOA MIX 400G BUY NOWGHS33 PWDR SACHET NESTLE GHANA LTD,6033000683212,NESTLE,CHOCOLIM,40G,SACHET,GHANA,,,,BUY NOW GHS33,,INSTANT COCOA MIX
MILO SUPPORTS ENERGY RELEASE 400G TIN NESTLE,6033000089199,NESTLE,MILO,400G,TIN,GHANA,,,,,,SUPPORTS ENERGY RELEASE
MIKSI 3 IN 1 CHOCOLATE 35G PWDR PLST SACHET PROMASIDOR GHANA LTD,6008155007534,PROMASIDOR,MIKSI,35G,SACHET,GHANA,,3 IN 1,CHOCOLATE & MILK,,,
BEL-COLA 350ML PLASTIC BOTTLE SOFT DRINK BLOW- CHEM INDUSTRIES LIMITED,6034000351101,BLOW CHEM INDUSTRIES LTD,BEL,350ML,PLASTIC BOTTLE,,,,COLA,,,
BEL MALT ORIGINAL 330ML BOTTLE PLASTIC BLOW CHEM INDUSTRIES LTD,6033000550521,BLOW CHEM INDUSTRIES LTD,BEL,330ML,PLASTIC BOTTLE,,ORIGINAL ,,MALT,,,
GOLDEN VICTORIA SPICY GINGER 25+5 FREE ENVELOPE TEABAGS 60G BOX CARDBOARD JAYAF,,MADHU JAYANTI INTERNATIONAL PVT LTD,GOLDEN VICTORIA,2G,BOX,,,,SPICY GINGER,,5 FREE ENVELOPE,
ZESTA STRAWBERRY 25+7 FREE TEABAG 57.6G BOX CARDBOARD SUNSHINE TEA LTD SRI LANKA,4791076004349,WATAWALA TEA CEYLON LTD,ZESTA,1.8G,BOX,SRI LANKA,,,STRAWBERRY,,7 FREE ENVELOPE,
GOLDEN VICTORIA CLOVES 60G 25+5 ENVELOPE TEABAG BOX CARDBOARD JAYAF LTD,,MADHU JAYANTI INTERNATIONAL PVT LTD,GOLDEN VICTORIA,2G,BOX,,,,CLOVES,,5 FREE ENVELOPE,
TAPOK PREMIUM BLACK TEA 2GX100PCS BOX ETKAF INDIA,8901035064345,ETKAF,TAPOK,2G,BOX,INDIA,,BLACK TEA,,,1PCS 2G,PREMIUM
LUX BAR BRIGHT IMPRESS 80G WRAPPED UNILEVER,8886467064432,UNILEVER,LUX,80G,WRAPPED,,,BAR,JAPANESE CAMELLIA & CITRUS OIL,,,BRIGHT IMPRESS BRIGHT & GLOWING SKIN
KIVO CLASSIC TOMATO MIX 70G SACHET GREEN FIELD FZC PRC,784300169864,PROCUS LIMITED,KIVO,70G,POUCH,CHINA,,TOMATO MIX,,,,
BRISK FARM 56G TOMATO MIX NEWLY BRANDED PACK SACHET GB FOODS GHANA LTD,8410300371380,GB FOODS,BRISK FARM,56G,SACHET,,,TOMATO MIX,,,,NEWLY BRANDED
POMO TOMATO MIX 380G AKYEDEE SOKOO PROMO SACH BY GB FOOD GHANA,8410300372219,GB FOODS,POMO,380G,SACHET,GHANA,,TOMATO MIX,,AKYEDEƐ SOKOO PROMO,,
LAILA TOMATO PASTE 2.2KG TIN ZHEJIANG NATIVE PRODUCE & ANIMAL CO.LTD CHINA,6921630625972,ZHEJIANG NATIVE PRODUCE & ANIMAL CO LTD,LAILA,2.2KG,TIN,CHINA,,,,,,
POMO TOMATO MIX AKYEDEƐ SOKOO PROMO 60G SACHET GB FOODS GHANA,8410300372196,GB FOODS,POMO,60G,SACHET,GHANA,,TOMATO MIX,,AKYEDEƐ SOKOO PROMO,,
SIYA 2200G DOUBLE CONCENTRE DE TOMATE TIN BY SYNERGY ENTREPRISES ( FZE) CHINA,8885021311067,SYNERGY ENTREPRISES ( FZE),SIYA,2.2KG,TIN,CHINA,,,,,,TOMATE PUREE
